NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK
1020023800,101,한남2고가차도,0,
1020023900,106,현대카인테리어,0,
1020024000,106,벽산빌라,1,
1020024100,101,UN빌리지,0,
1020024101,101,한남동5-1,1,
1020024200,101,이태원소방파출소,1,
1020024300,106,피노키오어린이집,0,
1020024400,101,녹사평역3번출구,1,
1020024500,101,원효전화국,1,
1020024600,101,한남2고가차도,0,
1020024700,101,삼각지역7번출구,0,
1020024800,101,녹사평역4번출구,0,
1020024900,101,삼각지역13번출구,0,
1020025000,102,용산고가차도남측,1,
1020025100,101,삼각지역7번출구,0,
1020025200,101,삼각지역13번출구,0,
1020025300,101,이태원호텔앞교차로,1,
1020025400,104,한남2고가차도북측,0,
1020025500,101,원효로2가사거리,1,
1020025600,101,삼각지역교차로,1,
1020025700,101,도화우성아파트입구,0,
1020025800,101,삼각지역8번출구,0,
1020025900,101,삼각지역9번출구,0,
1020026000,101,이태원지하차도,0,
1020026100,101,삼각지역10번출구,0,
1020026200,101,태국대사관,0,
1020026300,101,삼각지역10번출구,0,
1020026400,104,용산고가차도북측,0,
1020026500,101,동양제과,1,
1020026600,101,서울중앙우체국,0,
1020026700,101,오리온(주),1,
1020026800,101,용산등기소,0,
1020026801,101,문배동11-14,0,
